,close,predictions,to change,buy & hold result,algo result from "yesterday"
4686,1140.5,0,-0.008084174,1163.858643,1217.061971
4687,1131.28,1,-0.006426349,1154.449808,1217.061971
4688,1124.01,1,7.11737E-05,1147.03091,1209.240706
4689,1124.09,0,0.005257586,1147.112549,1209.326772
4690,1130,1,0.005327434,1153.143592,1209.326772
4691,1136.02,0,0.000871464,1159.286888,1215.76938
4692,1137.01,1,-0.002304289,1160.297164,1215.76938
4693,1134.39,0,0.000158676,1157.623504,1212.967896
4694,1134.57,1,-0.000757996,1157.80719,1212.967896
4695,1133.71,0,0.0002999,1156.929577,1212.04847
4696,1134.05,0,0.001172788,1157.27654,1212.04847
4697,1135.38,1,-0.000105691,1158.63378,1212.04847
4698,1135.26,1,-0.000739919,1158.511322,1211.920367
4699,1134.42,0,-0.00118122,1157.654118,1211.023645
4700,1133.08,1,-0.000150034,1156.286674,1211.023645
4701,1132.91,0,7.94414E-05,1156.113192,1210.841951
4702,1133,1,0,1156.205035,1210.841951
4703,1133,0,0.003433363,1156.205035,1210.841951
4704,1136.89,0,-0.000483776,1160.174706,1210.841951
4705,1136.34,0,-0.001179225,1159.613442,1210.841951
4706,1135,0,3.52423E-05,1158.245997,1210.841951
4707,1135.04,0,0.000140964,1158.286816,1210.841951
4708,1135.2,0,-9.68992E-05,1158.450093,1210.841951
4709,1135.09,1,-0.000916227,1158.33784,1210.841951
4710,1134.05,0,1.76359E-05,1157.27654,1209.732545
4711,1134.07,0,0.000723059,1157.29695,1209.732545
4712,1134.89,0,0.000978068,1158.133744,1209.732545
4713,1136,0,-0.001734155,1159.266478,1209.732545
4714,1134.03,0,0.000881811,1157.256131,1209.732545
4715,1135.03,1,-0.002669533,1158.276612,1209.732545
4716,1132,1,0.002058304,1155.184554,1206.503124
4717,1134.33,0,-0.003023811,1157.562275,1208.986474
4718,1130.9,0,0.000663189,1154.062025,1208.986474
4719,1131.65,1,0.002103124,1154.827386,1208.986474
4720,1134.03,0,-0.000520268,1157.256131,1211.529122
4721,1133.44,1,-0.00209098,1156.654047,1211.529122
4722,1131.07,1,-0.000946007,1154.235507,1208.995839
4723,1130,1,8.84956E-06,1153.143592,1207.852121
4724,1130.01,1,-0.001734498,1153.153797,1207.86281
4725,1128.05,1,-0.001152431,1151.153654,1205.767774
4726,1126.75,0,0.002875527,1149.827028,1204.37821
4727,1129.99,1,0.001238949,1153.133387,1204.37821
4728,1131.39,1,0.002289219,1154.562061,1205.870373
4729,1133.98,1,-0.002486816,1157.205106,1208.630875
4730,1131.16,1,-0.002705188,1154.32735,1205.625232
4731,1128.1,1,0.001950182,1151.204678,1202.36379
4732,1130.3,0,0.003627356,1153.449736,1204.708617
4733,1134.4,0,-0.001137165,1157.633709,1204.708617
4734,1133.11,0,0.001509121,1156.317288,1204.708617
4735,1134.82,0,-0.000105744,1158.062311,1204.708617
4736,1134.7,1,-0.000326077,1157.939853,1204.708617
4737,1134.33,1,-0.001013814,1157.562275,1204.315789
4738,1133.18,0,-0.002868035,1156.388722,1203.094837
4739,1129.93,1,0.001725771,1153.072158,1203.094837
4740,1131.88,0,0.000106018,1155.062096,1205.171102
4741,1132,0,-0.000662544,1155.184554,1205.171102
4742,1131.25,0,-0.002059669,1154.419193,1205.171102
4743,1128.92,1,0.000248025,1152.041472,1205.171102
4744,1129.2,0,-8.85583E-06,1152.327207,1205.470014
4745,1129.19,0,-0.00019483,1152.317002,1205.470014
4746,1128.97,0,0.000372021,1152.092496,1205.470014
4747,1129.39,0,0,1152.521098,1205.470014
4748,1129.39,0,-0.001151064,1152.521098,1205.470014
