,,,,buy & hold result,algo result from "yesterday",algo w/ shorting
,close,predictions,to change,1000,1000,1000
124,219.6536,0,0.02055145,1359.546882,1363.997346,1360.471587
125,224.1678,1,0.003512101,1364.321748,1368.787843,1365.249701
126,224.9551,1,0.006733344,1373.508195,1378.004362,1374.442397
127,226.4698,0,0.008888602,1385.716764,1378.004362,1362.225525
128,228.4828,0,0.012168531,1402.578901,1378.004362,1345.649241
129,231.2631,1,-0.017580842,1377.920383,1353.777885,1321.991595
130,227.1973,1,-0.016229066,1355.558022,1331.807334,1300.536906
131,223.5101,0,-0.002318016,1352.415817,1331.807334,1303.551571
132,222.992,0,0.013853412,1371.15139,1331.807334,1285.492935
133,226.0812,0,-0.046326276,1307.631053,1331.807334,1345.045035
134,215.6077,0,-0.008827607,1296.0878,1331.807334,1356.918563
135,213.7044,0,0.035718965,1342.382715,1331.807334,1308.450837
136,221.3377,0,-0.021385873,1313.674688,1331.807334,1336.4332
137,216.6042,0,0.02203743,1342.624703,1331.807334,1306.981647
138,221.3776,0,-0.004321575,1336.822449,1331.807334,1312.629866
139,220.4209,0,-0.023373464,1305.576277,1331.807334,1343.310574
140,215.2689,0,0.015230254,1325.460535,1331.807334,1322.851612
141,218.5475,0,0.006109885,1333.558946,1331.807334,1314.769142
142,219.8828,0,0.00942684,1346.130193,1331.807334,1302.375023
143,221.9556,0,-0.034301905,1299.955363,1331.807334,1347.048968
144,214.3421,0,0.021898171,1328.422008,1331.807334,1317.551059
145,219.0358,0,-0.015923881,1307.268374,1331.807334,1338.531585
146,215.5479,0,-0.018770306,1282.730547,1331.807334,1363.656233
147,211.502,0,0.004994752,1289.137467,1331.807334,1356.845108
148,212.5584,0,0.026066248,1322.740445,1331.807334,1321.477247
149,218.099,0,0.015352202,1343.047424,1331.807334,1301.189661
150,221.4473,0,-0.066330454,1253.962478,1331.807334,1387.498162
151,206.7586,0,-0.028388178,1218.364768,1331.807334,1426.886707
152,200.8891,0,0.010813927,1231.540075,1331.807334,1411.456459
153,203.0615,0,0.03032825,1268.89053,1331.807334,1368.649454
154,209.22,1,-0.00348915,1264.463181,1327.160458,1363.874031
155,208.49,0,-0.0192815,1240.082434,1327.160458,1390.171568
156,204.47,0,-0.050374138,1177.61435,1327.160458,1460.200263
157,194.17,1,-0.009991245,1165.848517,1313.900473,1445.611044
158,192.23,0,-0.028247412,1132.916313,1313.900473,1486.445815
159,186.8,0,0.024678801,1160.875329,1313.900473,1449.762115
160,191.41,0,0.011075701,1173.732838,1313.900473,1433.704983
161,193.53,0,-0.039632098,1127.215343,1313.900473,1490.525719
162,185.86,0,-0.047777897,1073.359364,1313.900473,1561.739904
163,176.98,0,-0.001130071,1072.146391,1313.900473,1563.504782
164,176.78,0,-0.025398801,1044.915159,1313.900473,1603.215928
165,172.29,0,0.01352371,1059.046288,1313.900473,1581.534501
166,174.62,0,-0.002176154,1056.74164,1313.900473,1584.976163
167,174.24,0,0.038452709,1097.376219,1313.900473,1524.029536
168,180.94,1,-0.007682105,1088.94606,1303.806953,1512.321782
169,179.55,1,-0.005402395,1083.063144,1296.763273,1504.151622
170,178.58,1,0.034942323,1120.907886,1342.075193,1556.710174
171,184.82,1,-0.043988746,1071.600554,1283.038989,1488.232446
172,176.69,1,-0.011149471,1059.652774,1268.733783,1471.639442
173,174.72,0,-0.035657051,1021.868681,1268.733783,1524.113765
174,168.49,1,0.006587928,1028.600679,1277.09211,1534.154516
175,169.6,1,-0.00571934,1022.717762,1269.787986,1525.380166
176,168.63,0,0.002787167,1025.568247,1269.787986,1521.128676
177,169.1,0,0.010940272,1036.788243,1269.787986,1504.487115
178,170.95,1,-0.03199766,1003.613445,1229.157742,1456.347047
179,165.48,1,-0.009306261,994.2735568,1217.71888,1442.793902
180,163.94,1,0.012992558,1007.191714,1233.540163,1461.539486
181,166.07,1,-0.031191666,975.7757262,1195.06399,1415.951634
182,160.89,1,-0.025234632,951.1523845,1164.90699,1380.220615
183,156.83,1,-0.038895619,914.1567233,1119.597211,1326.53608
184,150.73,1,-0.025874079,890.5037596,1090.628664,1292.21318
185,146.83,0,0.070421576,953.2144378,1090.628664,1201.213491
186,157.17,0,-0.006489788,947.028278,1090.628664,1209.009112
187,156.15,1,0.000512328,947.513467,1091.187423,1209.628521
188,156.23,1,0.009665237,956.6714094,1101.734008,1221.319868
189,157.74,1,0.001141118,957.7630846,1102.991217,1222.713538
190,157.92,1,-0.099607396,862.3627976,993.1251341,1100.922226
191,142.19,1,0.042689359,899.176513,1035.52101,1147.919891
192,148.26,0,-0.00222582,897.1751083,1035.52101,1150.474953
193,147.93,1,0.01906307,914.2780206,1055.26122,1172.406538
194,150.75,1,0.016981758,929.8040686,1073.18141,1192.316062
195,153.31,1,0.003196139,932.7758512,1076.611447,1196.12687
196,153.8,1,-0.009817945,923.6179088,1066.041334,1184.383361
197,152.29,1,-0.0150371,909.7293737,1050.011164,1166.57367
198,150,1,0.020466667,928.3485016,1071.501392,1190.449544
199,153.07,1,0.012216633,939.6897944,1084.591531,1204.99283
200,154.94,1,0.005937782,945.2694679,1091.0316,1212.147815
201,155.86,1,0.006159374,951.0917359,1097.751671,1219.613886
202,156.82,1,-0.022446117,929.7434199,1073.111409,1192.238291
203,153.3,1,0.004044357,933.5036347,1077.451456,1197.060129
204,153.92,1,-0.007926195,926.1045024,1068.911365,1187.571996
205,152.7,1,0.03313687,956.7927066,1104.331741,1226.924414
206,157.76,1,-0.009254564,947.9380074,1094.111633,1215.569764
207,156.3,1,-0.010364683,938.1129302,1082.771512,1202.970768
208,154.68,1,0.068334626,1002.218527,1156.762299,1285.175326
209,165.25,1,0.00720121,1009.435713,1165.092387,1294.430144
210,166.44,1,0.000480654,1009.920902,1165.652393,1295.052317
211,166.52,1,0.028404996,1038.607702,1198.762745,1331.838273
212,171.25,1,0.017109489,1056.377749,1219.272963,1354.625346
213,174.18,1,0.000344471,1056.74164,1219.692968,1355.091975
214,174.24,1,-0.018939394,1036.727594,1196.592722,1329.427354
215,170.94,1,-1,0,0,0
