,,,,buy & hold result,algo result from "yesterday",algo w/ shorting
,close,predictions,to change,1000,1000,1000
43,898.51,0,0.000467441,1004.391061,981.0171346,957.9927557
44,898.93,0,-0.002169246,1002.212291,981.0171346,960.0708773
45,896.98,1,-0.000802693,1001.407821,980.2296786,959.3002347
46,896.26,1,0.004808872,1006.223464,984.943478,963.9133871
47,900.57,0,-0.004852482,1001.340782,984.943478,968.5907598
48,896.2,1,-0.00150636,999.8324022,983.4597984,967.1317133
49,894.85,0,2.23501E-05,999.8547486,983.4597984,967.1100977
50,894.87,0,0.001251578,1001.106145,983.4597984,965.8996836
51,895.99,1,-0.00226565,998.8379888,981.2316224,963.7112927
52,893.96,0,0.001722672,1000.558659,981.2316224,962.0511341
53,895.5,0,-5.58347E-05,1000.502793,981.2316224,962.10485
54,895.45,1,1.11676E-05,1000.513966,981.2425804,962.1155943
55,895.46,0,-0.000234516,1000.27933,981.2425804,962.3412262
56,895.25,1,0.010890813,1011.173184,991.9291095,972.8219041
57,905,0,-0.001458564,1009.698324,991.9291095,974.2408267
58,903.68,0,-0.001859065,1007.821229,991.9291095,976.0520039
59,902,1,0.002461197,1010.301676,994.3704428,978.4542605
60,904.22,0,0.009787441,1020.189944,994.3704428,968.877697
61,913.07,1,-0.001182823,1018.98324,993.1942788,967.7316864
62,911.99,0,-0.001568,1017.385475,993.1942788,969.2490893
63,910.56,1,-0.001482604,1015.877095,991.7217648,967.8120766
64,909.21,0,0.001352823,1017.251397,991.7217648,966.5027984
65,910.44,0,-0.002306577,1014.905028,991.7217648,968.7321116
66,908.34,0,0.001464209,1016.391061,991.7217648,967.3136849
67,909.67,0,-0.002176613,1014.178771,991.7217648,969.4191529
68,907.69,0,-0.002897465,1011.240223,991.7217648,972.228011
69,905.06,0,-0.003557775,1007.642458,991.7217648,975.6869797
70,901.84,0,-0.010179189,997.3854749,991.7217648,985.618682
71,892.66,1,0.003887258,1001.26257,995.5768435,989.4500364
72,896.13,0,0.00036825,1001.631285,995.5768435,989.0856713
73,896.46,0,-0.000100395,1001.530726,995.5768435,989.1849705
74,896.37,1,0.004362038,1005.899441,999.9195875,993.4998329
75,900.28,0,0.000799751,1006.703911,999.9195875,992.7052802
76,901,0,0.003973363,1010.703911,999.9195875,988.7609019
77,904.58,0,0.001569789,1012.290503,999.9195875,987.2087556
78,906,0,0.005364238,1017.72067,999.9195875,981.9131325
79,910.86,0,-0.003436313,1014.223464,999.9195875,985.2872933
80,907.73,0,0.001299946,1015.541899,999.9195875,984.006473
81,908.91,0,-0.001331265,1014.189944,999.9195875,985.3164463
82,907.7,0,-0.001938967,1012.223464,999.9195875,987.226942
83,905.94,1,-0.004051041,1008.122905,995.8688724,983.2276452
84,902.27,0,2.21663E-05,1008.145251,995.8688724,983.2058507
85,902.29,0,-2.21658E-05,1008.122905,995.8688724,983.2276443
86,902.27,1,4.43326E-05,1008.167598,995.9130219,983.2712333
87,902.31,1,0.001274507,1009.452514,997.1823195,984.524419
88,903.46,1,0,1009.452514,997.1823195,984.524419
89,903.46,0,-0.000520222,1008.927374,997.1823195,985.0365905
90,902.99,1,-0.002879323,1006.022346,994.3111094,982.2003518
91,900.39,1,0.002110197,1008.145251,996.4093014,984.2729878
92,902.29,0,-0.008988241,999.0837989,996.4093014,993.1198706
93,894.18,0,-0.00306426,996.0223464,996.4093014,996.1630481
94,891.44,0,0.001166652,997.1843575,996.4093014,995.0008728
95,892.48,0,-0.002778774,994.4134078,996.4093014,997.7657551
96,890,1,-0.001168539,993.2513966,995.244958,996.5998266
97,888.96,1,0.000112491,993.3631285,995.3569141,996.7119351
98,889.06,0,-0.004566621,988.8268156,995.3569141,1001.263541
