date,open,high,low,close,volume,change
1/23/2017,918.8,928,910.8,921.5,32740,-0.002930005
1/22/2017,919.8,938.4,888.6,918.8,47930,0.001088376
1/21/2017,892.9,928.9,889.5,919.8,40380,-0.029245488
1/20/2017,895.2,901.5,878.9,892.9,38870,0.002575876
1/19/2017,872,905.3,870.7,895.2,58440,-0.025915996
1/18/2017,899.7,913.7,845.9,872,69260,0.031766055
1/17/2017,827.3,906.4,825,899.7,82210,-0.080471268
1/16/2017,821.2,836.7,817.7,827.3,33220,-0.007373383
1/15/2017,819.6,826.4,808.6,821.2,24400,-0.001948368
1/14/2017,824.8,838.9,808.3,819.6,44210,0.006344558
1/13/2017,810.1,835,771,824.8,89860,-0.017822502
1/12/2017,785.4,828.2,739.5,810.1,120240,-0.030490063
1/11/2017,904.4,917.7,751.6,785.4,194440,0.151515152
1/10/2017,899.8,911.3,890.1,904.4,53710,-0.005086245
1/9/2017,900.9,910.5,870.9,899.8,62580,0.001222494
1/8/2017,888.9,936.1,875.8,900.9,76910,-0.013320013
1/7/2017,886.2,900.9,806.7,888.9,130660,-0.003037462
1/6/2017,989.3,1027.4,852.5,886.2,194290,0.116339427
1/5/2017,1135.4,1150.6,874.5,989.3,240010,0.147680178
1/4/2017,1033.3,1148.5,1022.3,1135.4,156270,-0.089924256
1/3/2017,1017,1035.5,1006.5,1033.3,54790,-0.015774702
1/2/2017,995.4,1031.7,990.2,1017,64950,-0.021238938
1/1/2017,963.4,1001.6,956.1,995.4,41150,-0.03214788
12/31/2016,959,965.5,942.4,963.4,27560,-0.004567158
12/30/2016,971.1,971.6,927.4,959,70840,0.01261731
12/29/2016,972.2,982.6,949.2,971.1,61130,0.001132736
12/28/2016,925.8,974.5,925.5,972.2,77290,-0.047726805
12/27/2016,898.4,937.9,893.4,925.8,49690,-0.029596025
12/26/2016,891.1,909.3,885.9,898.4,38790,-0.008125557
12/25/2016,891.1,895.2,851.4,891.1,42480,0
12/24/2016,917.2,920.5,880.8,891.1,46030,0.029289642
12/23/2016,860.2,920.3,858,917.2,102220,-0.062145661
12/22/2016,829.2,874.7,828.9,860.2,70560,-0.036038131
12/21/2016,799.1,833.1,796,829.2,65290,-0.036300048
12/20/2016,789.8,800,787.1,799.1,34480,-0.011638093
12/19/2016,789,793.7,786.3,789.8,25460,-0.001012915
12/18/2016,787.2,791.3,783.8,789,14530,-0.002281369
12/17/2016,782,791.6,779.4,787.2,23580,-0.006605691
12/16/2016,775.2,783.9,773.3,782,27610,-0.008695652
12/15/2016,776.5,780.3,773.1,775.2,26220,0.001676987
12/14/2016,778.7,780.8,771,776.5,24780,0.002833226
12/13/2016,778.5,790.3,767.8,778.7,33110,-0.000256838
12/12/2016,767.9,781.3,767.9,778.5,28760,-0.013615928
12/11/2016,774,774.2,763,767.9,17140,0.007943743
12/10/2016,770.5,777,769.2,774,18020,-0.004521964
12/9/2016,768.5,773.5,765,770.5,24180,-0.002595717
12/8/2016,765.6,773.4,761.2,768.5,28780,-0.003773585
12/7/2016,758.2,769,754.3,765.6,34870,-0.009665622
12/6/2016,754.3,762.5,750.9,758.2,33430,-0.005143762
12/5/2016,766.4,769.2,746,754.3,51170,0.016041363
12/4/2016,764.2,769.2,758.8,766.4,19160,-0.002870564
12/3/2016,770.9,772.3,755.8,764.2,38450,0.008767338
12/2/2016,752.6,779,752.3,770.9,63220,-0.023738487
12/1/2016,742.5,755.5,741.1,752.6,54030,-0.013420144
11/30/2016,732.6,745.4,730.6,742.5,39280,-0.013333333
11/29/2016,733.3,737,727.8,732.6,32570,0.000955501
11/28/2016,729.4,738.1,727.7,733.3,34120,-0.005318424
11/27/2016,734.1,738.3,727.1,729.4,21350,0.006443652
11/26/2016,740.4,741,725.6,734.1,22580,0.008581937
11/25/2016,735.3,741.3,729,740.4,28850,-0.006888169
11/24/2016,741.1,744.2,726.2,735.3,37240,0.007887937
11/23/2016,749.3,750.9,731.3,741.1,37870,0.011064634
11/22/2016,736.2,754,730.6,749.3,44440,-0.017482984
11/21/2016,728.5,744.3,726.5,736.2,32510,-0.010459114
11/20/2016,747.9,752.3,712.8,728.5,47420,0.026630062
11/19/2016,747,755.3,737.4,747.9,25630,-0.001203369
11/18/2016,737.5,751.4,731,747,39710,-0.012717537
11/17/2016,740.3,751.9,730.1,737.5,62770,0.00379661
11/16/2016,711.1,746,708.1,740.3,79570,-0.039443469
11/15/2016,704.6,716.9,697.9,711.1,41400,-0.009140768
11/14/2016,702,708,696.1,704.6,37750,-0.003690037
11/13/2016,704.3,705.6,685,702,36140,0.003276353
11/12/2016,715,717.4,701.1,704.3,27600,0.01519239
11/11/2016,714.6,719.8,711.7,715,25580,-0.000559441
11/10/2016,721.4,723,707.3,714.6,33330,0.009515813
11/9/2016,710.9,741.2,707.1,721.4,70700,-0.014555032
11/8/2016,705.4,714.6,701,710.9,39730,-0.007736672
11/7/2016,709.9,711.7,698.3,705.4,30740,0.006379359
11/6/2016,702.1,714.1,697.6,709.9,25810,-0.010987463
11/5/2016,702.1,706.4,694,702.1,22020,0
11/4/2016,684.9,706.6,681.3,702.1,48240,-0.024497935
11/3/2016,733.5,744.4,670.4,684.9,96410,0.070959264
11/2/2016,726.8,735.8,718.1,733.5,39040,-0.009134288
11/1/2016,698.7,734.4,695.2,726.8,68070,-0.038662631
10/31/2016,697.3,707.2,682.2,698.7,38050,-0.002003721
10/30/2016,715,714.9,689.5,697.3,39330,0.025383623
10/29/2016,686.2,720.2,685.2,715,54030,-0.04027972
10/28/2016,682.3,688.4,678.6,686.2,38970,-0.005683474
10/27/2016,674.7,687.9,672.3,682.3,46560,-0.011138795
10/26/2016,651,678.4,651.4,674.7,47670,-0.035126723
10/25/2016,650.5,662.5,647.7,651,36740,-0.000768049
10/24/2016,653,654.3,645.7,650.5,33240,0.003843198
10/23/2016,655.5,661.2,648.8,653,21910,0.003828484
10/22/2016,630.5,659.9,629.7,655.5,37100,-0.038138825
10/21/2016,628.3,633.3,627.6,630.5,28090,-0.003489294
10/20/2016,629.1,630.8,625.5,628.3,20940,0.001273277
10/19/2016,635.3,637.3,624.1,629.1,35290,0.009855349
10/18/2016,637.4,639.3,632.2,635.3,24600,0.003305525
