,close,predictions
211,992.99,0.0
212,993.84,1.0
213,995.97,1.0
214,994.69,0.0
215,996.3,0.0
216,995.87,0.0
217,996.47,0.0
218,996.33,0.0
219,995.75,0.0
220,996.0,0.0
221,996.03,0.0
222,997.26,1.0
223,997.51,0.0
224,997.49,0.0
225,997.42,0.0
226,997.45,0.0
227,997.97,0.0
228,997.9,0.0
229,997.7,0.0
230,997.99,1.0
231,997.7,0.0
232,997.77,0.0
233,997.67,0.0
234,997.42,0.0
235,997.4,0.0
236,995.96,0.0
237,995.95,0.0
238,995.28,0.0
239,996.05,0.0
240,996.01,0.0
241,996.24,0.0
242,996.4,0.0
243,996.4,0.0
244,996.4,0.0
245,996.4,0.0
246,996.4,0.0
247,997.1,0.0
248,996.39,0.0
249,996.33,0.0
250,997.02,0.0
251,997.34,0.0
252,996.36,0.0
253,997.09,1.0
254,996.9,0.0
255,995.94,0.0
256,995.72,0.0
257,995.46,0.0
258,996.5,0.0
259,995.46,0.0
260,996.42,0.0
261,995.47,0.0
262,996.48,0.0
263,996.45,0.0
264,995.48,0.0
265,995.45,0.0
266,996.54,0.0
267,995.9,0.0
268,996.26,1.0
269,996.36,0.0
270,996.5,0.0
271,996.05,0.0
272,996.43,0.0
273,996.47,0.0
274,996.05,0.0
275,996.2,0.0
276,996.03,0.0
277,996.22,0.0
278,994.99,0.0
279,996.36,0.0
280,995.88,0.0
281,995.91,0.0
282,995.76,1.0
283,995.76,0.0
284,995.76,0.0
285,995.73,0.0
286,995.73,0.0
287,995.73,0.0
288,993.82,0.0
289,994.3,0.0
290,994.19,0.0
291,992.74,0.0
292,992.98,0.0
293,991.04,0.0
294,992.0,0.0
295,991.19,0.0
296,991.9,0.0
297,991.34,0.0
298,991.99,0.0
299,991.33,0.0
300,992.0,1.0
301,992.0,0.0
302,994.05,1.0
303,994.0,1.0
304,995.14,1.0
305,995.11,0.0
306,995.11,0.0
307,995.11,0.0
308,995.73,0.0
309,995.64,0.0
310,996.2,0.0
311,997.39,1.0
312,997.0,0.0
313,997.51,0.0
314,997.5,0.0
315,997.64,0.0
316,997.67,0.0
317,997.68,0.0
318,997.51,0.0
319,997.63,0.0
320,997.65,0.0
321,997.65,0.0
322,997.69,0.0
323,997.7,0.0
324,997.71,0.0
325,997.69,0.0
326,997.68,0.0
327,997.69,0.0
328,997.7,0.0
329,997.97,0.0
330,997.98,0.0
331,997.98,0.0
332,997.99,0.0
333,997.99,0.0
334,997.99,0.0
335,997.99,0.0
336,997.98,0.0
337,997.61,0.0
338,997.39,0.0
339,997.99,0.0
340,997.99,0.0
341,998.0,0.0
342,997.99,0.0
343,998.0,0.0
344,998.0,0.0
345,997.99,0.0
346,998.0,0.0
347,998.0,0.0
348,998.0,0.0
349,997.99,0.0
350,998.0,0.0
351,997.99,0.0
352,998.0,0.0
353,998.0,0.0
354,998.0,0.0
355,998.0,0.0
